teacher,series,epoch,loss
july,train,0.01875,1.748
july,train,0.03751,1.628
july,train,0.05626,1.56
july,train,0.07501,1.572
july,train,0.09376,1.492
july,train,0.1125,1.585
july,train,0.1313,1.484
july,train,0.15,1.521
july,train,0.1688,1.516
july,train,0.1875,1.527
july,train,0.2063,1.655
july,train,0.225,1.544
july,train,0.2438,1.518
july,train,0.2625,1.546
july,train,0.2813,1.596
july,train,0.3,1.638
july,train,0.3188,1.552
july,train,0.3376,1.492
july,train,0.3563,1.549
july,train,0.3751,1.567
july,train,0.3938,1.604
july,train,0.4126,1.537
july,train,0.4313,1.557
july,train,0.4501,1.539
july,train,0.4688,1.526
july,train,0.4876,1.655
july,train,0.5063,1.497
july,train,0.5251,1.511
july,train,0.5438,1.57
july,train,0.5626,1.534
july,train,0.5813,1.586
july,train,0.6001,1.503
july,train,0.6188,1.499
july,train,0.6376,1.613
july,train,0.6564,1.526
july,train,0.6751,1.626
july,train,0.6939,1.526
july,train,0.7126,1.502
july,train,0.7314,1.532
july,train,0.7501,1.535
july,train,0.7689,1.598
july,train,0.7876,1.496
july,train,0.8064,1.455
july,train,0.8251,1.543
july,train,0.8439,1.508
july,train,0.8626,1.593
july,train,0.8814,1.505
july,train,0.9001,1.471
july,train,0.9189,1.553
july,train,0.9376,1.542
july,train,0.9564,1.536
july,train,0.9752,1.542
july,train,0.9939,1.486
july,train,1.011,1.472
july,train,1.03,1.346
july,train,1.049,1.233
july,train,1.068,1.386
july,train,1.086,1.396
july,train,1.105,1.33
july,train,1.124,1.277
july,train,1.143,1.297
july,train,1.161,1.415
july,train,1.18,1.387
july,train,1.199,1.305
july,train,1.218,1.259
july,train,1.236,1.343
july,train,1.255,1.356
july,train,1.274,1.414
july,train,1.293,1.304
july,train,1.311,1.334
july,train,1.33,1.239
july,train,1.349,1.364
july,train,1.368,1.405
july,train,1.386,1.33
july,train,1.405,1.367
july,train,1.424,1.294
july,train,1.443,1.44
july,train,1.461,1.401
july,train,1.48,1.281
july,train,1.499,1.312
july,train,1.518,1.324
july,train,1.536,1.438
july,train,1.555,1.408
july,train,1.574,1.275
july,train,1.593,1.299
july,train,1.611,1.279
july,train,1.63,1.477
july,train,1.649,1.403
july,train,1.668,1.3
july,train,1.686,1.358
july,train,1.705,1.312
july,train,1.724,1.379
july,validation,0.3751,1.578
july,validation,0.7501,1.558
july,validation,1.124,1.577
july,validation,1.499,1.542
