teacher,series,epoch,loss
april,train,0.01788,0.8908
april,train,0.03576,0.9004
april,train,0.05364,0.8584
april,train,0.07152,0.8183
april,train,0.08941,0.8838
april,train,0.1073,0.7994
april,train,0.1252,0.752
april,train,0.143,0.7703
april,train,0.1609,0.7948
april,train,0.1788,0.8241
april,train,0.1967,0.7926
april,train,0.2146,0.7474
april,train,0.2325,0.7613
april,train,0.2503,0.7645
april,train,0.2682,0.8013
april,train,0.2861,0.7379
april,train,0.304,0.6983
april,train,0.3219,0.7821
april,train,0.3397,0.7516
april,train,0.3576,0.7933
april,train,0.3755,0.7795
april,train,0.3934,0.6947
april,train,0.4113,0.7289
april,train,0.4291,0.747
april,train,0.447,0.7946
april,train,0.4649,0.7382
april,train,0.4828,0.7272
april,train,0.5007,0.7591
april,train,0.5186,0.7654
april,train,0.5364,0.7646
april,train,0.5543,0.7372
april,train,0.5722,0.6852
april,train,0.5901,0.7787
april,train,0.608,0.768
april,train,0.6258,0.768
april,train,0.6437,0.7402
april,train,0.6616,0.6879
april,train,0.6795,0.7338
april,train,0.6974,0.7722
april,train,0.7152,0.7662
april,train,0.7331,0.7536
april,train,0.751,0.7101
april,train,0.7689,0.7391
april,train,0.7868,0.771
april,train,0.8046,0.7731
april,train,0.8225,0.736
april,train,0.8404,0.7042
april,train,0.8583,0.7638
april,train,0.8762,0.7634
april,train,0.8941,0.7935
april,train,0.9119,0.7179
april,train,0.9298,0.7051
april,train,0.9477,0.7629
april,train,0.9656,0.7116
april,train,0.9835,0.8022
april,train,1.0,0.7362
april,train,1.018,0.7006
april,train,1.036,0.7216
april,train,1.054,0.6725
april,train,1.072,0.7433
april,train,1.089,0.7207
april,train,1.107,0.7092
april,train,1.125,0.6984
april,train,1.143,0.7383
april,train,1.161,0.7358
april,train,1.179,0.7787
april,train,1.197,0.745
april,train,1.215,0.6648
april,train,1.232,0.7526
april,train,1.25,0.7074
april,train,1.268,0.7569
april,train,1.286,0.7131
april,train,1.304,0.7136
april,train,1.322,0.7051
april,train,1.34,0.7554
april,train,1.358,0.754
april,train,1.376,0.7126
april,train,1.393,0.709
april,train,1.411,0.6965
april,train,1.429,0.747
april,train,1.447,0.7477
april,train,1.465,0.7261
april,train,1.483,0.6793
april,train,1.501,0.7015
april,train,1.519,0.7365
april,train,1.536,0.7583
april,train,1.554,0.7271
april,train,1.572,0.6744
april,train,1.59,0.7082
april,train,1.608,0.7245
april,train,1.626,0.7353
april,train,1.644,0.754
april,train,1.662,0.6745
april,train,1.679,0.7054
april,train,1.697,0.7505
april,train,1.715,0.7479
april,train,1.733,0.7522
april,train,1.751,0.6758
april,train,1.769,0.6948
april,train,1.787,0.7433
april,train,1.805,0.791
april,train,1.823,0.7392
april,train,1.84,0.6942
april,train,1.858,0.7466
april,train,1.876,0.7442
april,train,1.894,0.7294
april,train,1.912,0.7306
april,train,1.93,0.6714
april,train,1.948,0.7067
april,train,1.966,0.7338
april,train,1.983,0.7359
april,train,2.0,0.7047
april,validation,0.1788,0.781
april,validation,0.3576,0.7625
april,validation,0.5364,0.7548
april,validation,0.7152,0.751
april,validation,0.8941,0.7474
april,validation,1.072,0.7453
april,validation,1.25,0.7441
april,validation,1.429,0.7428
april,validation,1.608,0.7421
april,validation,1.787,0.7417
april,validation,1.966,0.7416
april,validation,2.0,0.7416
july,train,0.01875,1.652
july,train,0.03751,1.597
july,train,0.05626,1.452
july,train,0.07501,1.458
july,train,0.09376,1.368
july,train,0.1125,1.426
july,train,0.1313,1.32
july,train,0.15,1.316
july,train,0.1688,1.305
july,train,0.1875,1.326
july,train,0.2063,1.437
july,train,0.225,1.326
july,train,0.2438,1.295
july,train,0.2625,1.304
july,train,0.2813,1.36
july,train,0.3,1.407
july,train,0.3188,1.322
july,train,0.3376,1.247
july,train,0.3563,1.314
july,train,0.3751,1.338
july,train,0.3938,1.388
july,train,0.4126,1.313
july,train,0.4313,1.309
july,train,0.4501,1.299
july,train,0.4688,1.301
july,train,0.4876,1.409
july,train,0.5063,1.273
july,train,0.5251,1.262
july,train,0.5438,1.337
july,train,0.5626,1.303
july,train,0.5813,1.366
july,train,0.6001,1.29
july,train,0.6188,1.252
july,train,0.6376,1.345
july,train,0.6564,1.287
july,train,0.6751,1.4
july,train,0.6939,1.305
july,train,0.7126,1.265
july,train,0.7314,1.296
july,train,0.7501,1.312
july,train,0.7689,1.376
july,train,0.7876,1.292
july,train,0.8064,1.225
july,train,0.8251,1.309
july,train,0.8439,1.284
july,train,0.8626,1.37
july,train,0.8814,1.295
july,train,0.9001,1.252
july,train,0.9189,1.321
july,train,0.9376,1.321
july,train,0.9564,1.334
july,train,0.9752,1.328
july,train,0.9939,1.265
july,train,1.011,1.312
july,train,1.03,1.328
july,train,1.049,1.307
july,train,1.068,1.356
july,train,1.086,1.294
july,train,1.105,1.266
july,train,1.124,1.248
july,train,1.143,1.315
july,train,1.161,1.339
july,train,1.18,1.31
